Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"waitForElementClickable(findTestObject(""Create Pop-up Alert Page/sent alerts checkbox""), 2)",Chrome 121.0.0.0,,,2024-02-21 14:31:11,2024-02-21 14:31:12,"1,472s",PASSED
"check(findTestObject(""Create Pop-up Alert Page/sent alerts checkbox""))",Chrome 121.0.0.0,,,2024-02-21 14:31:12,2024-02-21 14:31:13,"0,446s",PASSED
"verifyElementChecked(findTestObject(""Create Pop-up Alert Page/sent alerts checkbox""), 2)",Chrome 121.0.0.0,,,2024-02-21 14:31:13,2024-02-21 14:31:13,"0,433s",PASSED
"click(findTestObject(""Pop-up Alerts page/delete all""))",Chrome 121.0.0.0,,,2024-02-21 14:31:13,2024-02-21 14:31:14,"0,628s",PASSED
"click(findTestObject(""Pop-up Alerts page/Confirm deletion btn""))",Chrome 121.0.0.0,,,2024-02-21 14:31:14,2024-02-21 14:31:14,"0,613s",PASSED
,,,,,,,
Test Cases/Wallpapers/Send Wallpaper PNG (TC-16),Chrome 121.0.0.0,,,2024-02-21 14:31:16,2024-02-21 14:33:03,"1m - 46,904s",PASSED
"click(findTestObject(""Pop-up Alerts page/New alert button""))",Chrome 121.0.0.0,,,2024-02-21 14:31:17,2024-02-21 14:31:17,"0,474s",PASSED
"verifyElementText(findTestObject(""Wallpapers/Create Wallpaper Header""), ""Create Wallpaper"")",Chrome 121.0.0.0,,,2024-02-21 14:31:17,2024-02-21 14:31:18,"0,547s",PASSED
"click(findTestObject(""Wallpapers/more""))",Chrome 121.0.0.0,,,2024-02-21 14:31:18,2024-02-21 14:31:18,"0,459s",PASSED
"callTestCase(findTestCase(""Built-in test cases/Choose recipients""), [:], STOP_ON_FAILURE)",Chrome 121.0.0.0,,,2024-02-21 14:31:18,2024-02-21 14:31:27,"8,783s",PASSED
"setText(findTestObject(""Create Pop-up Alert Page/Alert Title field""), ""TC-16"")",Chrome 121.0.0.0,,,2024-02-21 14:31:27,2024-02-21 14:31:28,"0,992s",PASSED
"verifyElementPresent(findTestObject(""Wallpapers/Upload wallpaper area""), 2)",Chrome 121.0.0.0,,,2024-02-21 14:31:28,2024-02-21 14:31:28,"0,309s",PASSED
"uploadFileWithDragAndDrop(findTestObject(""Wallpapers/Upload wallpaper area""), ""C:\Users\Home\git\Katalon\Imagesfortest\rocks.png"")",Chrome 121.0.0.0,,,2024-02-21 14:31:28,2024-02-21 14:31:29,"0,354s",PASSED
delay(90),Chrome 121.0.0.0,,,2024-02-21 14:31:29,2024-02-21 14:32:59,"1m - 30,017s",PASSED
"getAttribute(findTestObject(""Wallpapers/uploaded wallpaper file""), ""src"")",Chrome 121.0.0.0,,,2024-02-21 14:32:59,2024-02-21 14:32:59,"0,313s",PASSED
"click(findTestObject(""Wallpapers/Send wallpaper button""))",Chrome 121.0.0.0,,,2024-02-21 14:32:59,2024-02-21 14:32:59,"0,406s",PASSED
waitForPageLoad(2),Chrome 121.0.0.0,,,2024-02-21 14:32:59,2024-02-21 14:32:59,"0,021s",PASSED
"setText(findTestObject(""Pop-up Alerts page/Search by title field""), ""TC-16"")",Chrome 121.0.0.0,,,2024-02-21 14:32:59,2024-02-21 14:33:01,"1,702s",PASSED
"verifyElementText(findTestObject(""Pop-up Alerts page/Filtered sent alert""), ""TC-16"")",Chrome 121.0.0.0,,,2024-02-21 14:33:01,2024-02-21 14:33:01,"0,318s",PASSED
,,,,,,,
Test Cases/Wallpapers/Send Wallpaper BMP (TC-17),Chrome 121.0.0.0,,,2024-02-21 14:33:03,2024-02-21 14:34:55,"1m - 51,706s",PASSED
"click(findTestObject(""Dashboard Page/Compose alert button expansion""))",Chrome 121.0.0.0,,,2024-02-21 14:33:03,2024-02-21 14:33:04,"0,380s",PASSED
"click(findTestObject(""Dashboard Page/Wallpapers""))",Chrome 121.0.0.0,,,2024-02-21 14:33:04,2024-02-21 14:33:04,"0,646s",PASSED
"verifyElementText(findTestObject(""Wallpapers/Create Wallpaper Header""), ""Create Wallpaper"")",Chrome 121.0.0.0,,,2024-02-21 14:33:04,2024-02-21 14:33:06,"1,421s",PASSED
"click(findTestObject(""Wallpapers/more""))",Chrome 121.0.0.0,,,2024-02-21 14:33:06,2024-02-21 14:33:06,"0,405s",PASSED
"callTestCase(findTestCase(""Built-in test cases/Choose recipients""), [:], STOP_ON_FAILURE)",Chrome 121.0.0.0,,,2024-02-21 14:33:06,2024-02-21 14:33:15,"8,223s",PASSED
"setText(findTestObject(""Create Pop-up Alert Page/Alert Title field""), ""TC-17"")",Chrome 121.0.0.0,,,2024-02-21 14:33:15,2024-02-21 14:33:15,"0,952s",PASSED
"verifyElementPresent(findTestObject(""Wallpapers/Upload wallpaper area""), 2)",Chrome 121.0.0.0,,,2024-02-21 14:33:15,2024-02-21 14:33:16,"0,310s",PASSED
"uploadFileWithDragAndDrop(findTestObject(""Wallpapers/Upload wallpaper area""), ""C:\Users\Home\git\Katalon\Imagesfortest\future.bmp"")",Chrome 121.0.0.0,,,2024-02-21 14:33:16,2024-02-21 14:33:16,"0,356s",PASSED
delay(90),Chrome 121.0.0.0,,,2024-02-21 14:33:16,2024-02-21 14:34:46,"1m - 30,008s",PASSED
"getAttribute(findTestObject(""Wallpapers/uploaded wallpaper file""), ""src"")",Chrome 121.0.0.0,,,2024-02-21 14:34:46,2024-02-21 14:34:46,"0,320s",PASSED
"click(findTestObject(""Wallpapers/Send wallpaper button""))",Chrome 121.0.0.0,,,2024-02-21 14:34:46,2024-02-21 14:34:47,"0,407s",PASSED
waitForPageLoad(2),Chrome 121.0.0.0,,,2024-02-21 14:34:47,2024-02-21 14:34:47,"0,022s",PASSED
"setText(findTestObject(""Pop-up Alerts page/Search by title field""), ""TC-17"")",Chrome 121.0.0.0,,,2024-02-21 14:34:47,2024-02-21 14:34:53,"5,731s",PASSED
"verifyElementText(findTestObject(""Pop-up Alerts page/Filtered sent alert""), ""TC-17"")",Chrome 121.0.0.0,,,2024-02-21 14:34:53,2024-02-21 14:34:53,"0,312s",PASSED
,,,,,,,
Test Cases/Wallpapers/Send wallpaper with image from server (TC-19),Chrome 121.0.0.0,,,2024-02-21 14:34:55,2024-02-21 14:35:16,"20,638s",PASSED
