Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Surveys,Chrome 123.0.0.0,,,22-04-2024 12:41:56,22-04-2024 12:53:12,"11m - 16,513s",FAILED
,,,,,,,
Test Cases/Login Test Cases/Login with Valid Credentials,Chrome 123.0.0.0,,,22-04-2024 12:41:56,22-04-2024 12:42:08,"11,919s",PASSED
"openBrowser("""")",Chrome 123.0.0.0,,,22-04-2024 12:41:56,22-04-2024 12:41:58,"1,668s",PASSED
"navigateToUrl(""https://dadebug.commclouds.com/Demo"")",Chrome 123.0.0.0,,,22-04-2024 12:41:58,22-04-2024 12:41:59,"0,861s",PASSED
waitForPageLoad(3),Chrome 123.0.0.0,,,22-04-2024 12:41:59,22-04-2024 12:41:59,"0,091s",PASSED
maximizeWindow(),Chrome 123.0.0.0,,,22-04-2024 12:41:59,22-04-2024 12:41:59,"0,148s",PASSED
"verifyElementPresent(findTestObject(""Login Page/DAlogo""), 2)",Chrome 123.0.0.0,,,22-04-2024 12:41:59,22-04-2024 12:42:00,"0,802s",PASSED
"verifyElementPresent(findTestObject(""Login Page/Version number""), 2)",Chrome 123.0.0.0,,,22-04-2024 12:42:00,22-04-2024 12:42:00,"0,283s",PASSED
"verifyElementText(findTestObject(""Login Page/Version number""), ""Version: 11.4.0.2 (stage/11)"")",Chrome 123.0.0.0,,,22-04-2024 12:42:00,22-04-2024 12:42:00,"0,008s",NOT_RUN
"setText(findTestObject(""Object Repository/Login Page/Login input field""), ""Zoya"")",Chrome 123.0.0.0,,,22-04-2024 12:42:00,22-04-2024 12:42:01,"0,635s",PASSED
"setEncryptedText(findTestObject(""Object Repository/Login Page/Password input field""), ""tzH6RvlfSTg="")",Chrome 123.0.0.0,,,22-04-2024 12:42:01,22-04-2024 12:42:01,"0,339s",PASSED
"click(findTestObject(""Object Repository/Login Page/button_Log in""))",Chrome 123.0.0.0,,,22-04-2024 12:42:01,22-04-2024 12:42:01,"0,327s",PASSED
delay(4),Chrome 123.0.0.0,,,22-04-2024 12:42:01,22-04-2024 12:42:05,"4,025s",PASSED
"verifyElementPresent(findTestObject(""Object Repository/Login Page/h1_Dashboard""), 4)",Chrome 123.0.0.0,,,22-04-2024 12:42:05,22-04-2024 12:42:06,"0,267s",PASSED
,,,,,,,
Test Cases/Surveys-Quizz-Poll/Send Survey with one question and single choice(TC-25),Chrome 123.0.0.0,,,22-04-2024 12:42:44,22-04-2024 12:43:41,"57,069s",FAILED
"click(findTestObject(""Dashboard Page/Compose alert button expansion""))",Chrome 123.0.0.0,,,22-04-2024 12:42:44,22-04-2024 12:43:08,"23,587s",PASSED
"click(findTestObject(""Dashboard Page/Survey-Quizz-Poll""))",Chrome 123.0.0.0,,,22-04-2024 12:43:08,22-04-2024 12:43:08,"0,548s",PASSED
"check(findTestObject(""Survey/Classic survey radio button""))",Chrome 123.0.0.0,,,22-04-2024 12:43:08,22-04-2024 12:43:09,"1,015s",PASSED
"click(findTestObject(""Survey/More btn""))",Chrome 123.0.0.0,,,22-04-2024 12:43:09,22-04-2024 12:43:10,"0,613s",PASSED
"callTestCase(findTestCase(""Built-in test cases/Choose recipients""), [:], STOP_ON_FAILURE)",Chrome 123.0.0.0,,,22-04-2024 12:43:10,22-04-2024 12:43:18,"8,042s",PASSED
"setText(findTestObject(""Survey/Survey title""), ""TC-25"")",Chrome 123.0.0.0,,,22-04-2024 12:43:18,22-04-2024 12:43:19,"0,861s",PASSED
"setText(findTestObject(""Survey/Q1 input""), ""Are you satisfied with our services?"")",Chrome 123.0.0.0,,,22-04-2024 12:43:19,22-04-2024 12:43:20,"1,356s",PASSED
"setText(findTestObject(""Survey/Q1 Answer 1 input field""), ""Yes"")",Chrome 123.0.0.0,,,22-04-2024 12:43:20,22-04-2024 12:43:21,"0,786s",PASSED
"setText(findTestObject(""Survey/Q1 answer 2 input field""), ""No"")",Chrome 123.0.0.0,,,22-04-2024 12:43:21,22-04-2024 12:43:22,"0,718s",PASSED
"click(findTestObject(""Survey/Add question btn""))",Chrome 123.0.0.0,,,22-04-2024 12:43:22,22-04-2024 12:43:22,"0,393s",PASSED
"click(findTestObject(""Survey/Q2 delete btn""))",Chrome 123.0.0.0,,,22-04-2024 12:43:22,22-04-2024 12:43:22,"0,498s",PASSED
"verifyElementNotPresent(findTestObject(""Survey/Q2 delete btn""), 2)",Chrome 123.0.0.0,,,22-04-2024 12:43:22,22-04-2024 12:43:23,"0,547s",PASSED
"click(findTestObject(""Create Pop-up Alert Page/Alerts settings right-hand menu/Skin choice button""))",Chrome 123.0.0.0,,,22-04-2024 12:43:23,22-04-2024 12:43:23,"0,377s",PASSED
"click(findTestObject(""Create Pop-up Alert Page/Alerts settings right-hand menu/Skin with given index""))",Chrome 123.0.0.0,,,22-04-2024 12:43:23,22-04-2024 12:43:24,"0,525s",PASSED
