Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Scrolling ticker,Chrome 120.0.0.0,,,2024-01-26 17:07:40,2024-01-26 17:08:54,"1m - 14,023s",PASSED
,,,,,,,
Test Cases/Ticker/Send Ticker (TC-7),Chrome 120.0.0.0,using Compose Alert Drop-down menu,,2024-01-26 17:07:40,2024-01-26 17:08:01,"20,862s",PASSED
"callTestCase(findTestCase(""Login Test Cases/Login with Valid Credentials""), [:], STOP_ON_FAILURE)",Chrome 120.0.0.0,,,2024-01-26 17:07:40,2024-01-26 17:07:49,"9,393s",PASSED
"click(findTestObject(""Dashboard Page/Compose alert button expansion""))",Chrome 120.0.0.0,,,2024-01-26 17:07:49,2024-01-26 17:07:50,"0,299s",PASSED
"click(findTestObject(""Dashboard Page/Scrolling tickers""))",Chrome 120.0.0.0,,,2024-01-26 17:07:50,2024-01-26 17:07:50,"0,523s",PASSED
"verifyElementText(findTestObject(""Create Scrolling ticker/Create Scrolling ticker header""), ""Create Scrolling Ticker"")",Chrome 120.0.0.0,,,2024-01-26 17:07:50,2024-01-26 17:07:51,"1,091s",PASSED
waitForPageLoad(1),Chrome 120.0.0.0,,,2024-01-26 17:07:51,2024-01-26 17:07:51,"0,012s",PASSED
"click(findTestObject(""Create Pop-up Alert Page/More button""))",Chrome 120.0.0.0,,,2024-01-26 17:07:51,2024-01-26 17:07:52,"0,372s",PASSED
"click(findTestObject(""Create Pop-up Alert Page/Choose recipients modal window/Filter field""))",Chrome 120.0.0.0,,,2024-01-26 17:07:52,2024-01-26 17:07:52,"0,519s",PASSED
"setText(findTestObject(""Create Pop-up Alert Page/Choose recipients modal window/Filter field""), ""LAPTOP-E6BU4LL9"")",Chrome 120.0.0.0,,,2024-01-26 17:07:52,2024-01-26 17:07:53,"1,160s",PASSED
"verifyElementText(findTestObject(""Create Pop-up Alert Page/Choose recipients modal window/All user list-filtered""), ""LAPTOP-E6BU4LL9 "")",Chrome 120.0.0.0,,,2024-01-26 17:07:53,2024-01-26 17:07:55,"1,439s",PASSED
"click(findTestObject(""Create Pop-up Alert Page/Choose recipients modal window/filtered user selection""))",Chrome 120.0.0.0,,,2024-01-26 17:07:55,2024-01-26 17:07:55,"0,314s",PASSED
