Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"setText(findTestObject(""Pop-up Alerts page/Search by title field""), ""TC-25"")",Chrome 122.0.0.0,,,29-02-2024 11:05:21,29-02-2024 11:05:26,"4,629s",PASSED
"verifyElementText(findTestObject(""Pop-up Alerts page/Filtered sent alert""), ""TC-25"")",Chrome 122.0.0.0,,,29-02-2024 11:05:26,29-02-2024 11:05:26,"0,317s",PASSED
"callTestCase(findTestCase(""Built-in test cases/Actions menu check""), [:], STOP_ON_FAILURE)",Chrome 122.0.0.0,,,29-02-2024 11:05:26,29-02-2024 11:05:41,"14,622s",PASSED
"sendKeys(findTestObject(""Create Pop-up Alert Page/Alert Title field""), Keys.chord(CONTROL, ""a"", BACK_SPACE))",Chrome 122.0.0.0,,,29-02-2024 11:05:41,29-02-2024 11:05:44,"2,870s",PASSED
"setText(findTestObject(""Create Pop-up Alert Page/Alert Title field""), ""Duplicate survey"")",Chrome 122.0.0.0,,,29-02-2024 11:05:44,29-02-2024 11:05:45,"0,879s",PASSED
"click(findTestObject(""Survey/Send btn Survey""))",Chrome 122.0.0.0,,,29-02-2024 11:05:45,29-02-2024 11:05:45,"0,353s",PASSED
"setText(findTestObject(""Pop-up Alerts page/Search by title field""), ""TC-25"")",Chrome 122.0.0.0,,,29-02-2024 11:05:45,29-02-2024 11:05:47,"2,005s",PASSED
"callTestCase(findTestCase(""Built-in test cases/Select all and Delete""), [:], STOP_ON_FAILURE)",Chrome 122.0.0.0,,,29-02-2024 11:05:47,29-02-2024 11:05:50,"3,205s",PASSED
"setText(findTestObject(""Pop-up Alerts page/Search by title field""), ""Duplicate survey"")",Chrome 122.0.0.0,,,29-02-2024 11:05:50,29-02-2024 11:05:52,"1,770s",PASSED
"waitForElementClickable(findTestObject(""Create Pop-up Alert Page/sent alerts checkbox""), 2)",Chrome 122.0.0.0,,,29-02-2024 11:05:52,29-02-2024 11:05:53,"1,346s",PASSED
"check(findTestObject(""Create Pop-up Alert Page/sent alerts checkbox""))",Chrome 122.0.0.0,,,29-02-2024 11:05:53,29-02-2024 11:05:54,"0,364s",PASSED
"verifyElementChecked(findTestObject(""Create Pop-up Alert Page/sent alerts checkbox""), 2)",Chrome 122.0.0.0,,,29-02-2024 11:05:54,29-02-2024 11:05:54,"0,510s",PASSED
"click(findTestObject(""Pop-up Alerts page/delete all""))",Chrome 122.0.0.0,,,29-02-2024 11:05:54,29-02-2024 11:05:55,"0,565s",PASSED
"click(findTestObject(""Pop-up Alerts page/Confirm deletion btn""))",Chrome 122.0.0.0,,,29-02-2024 11:05:55,29-02-2024 11:05:55,"0,575s",PASSED
,,,,,,,
Test Cases/Surveys-Quizz-Poll/Send Survey with 2 questions(single and mutiple choice)(TC-26),Chrome 122.0.0.0,,,29-02-2024 11:05:58,29-02-2024 11:06:53,"55,258s",PASSED
"click(findTestObject(""Survey/New Survey btn""))",Chrome 122.0.0.0,,,29-02-2024 11:05:58,29-02-2024 11:05:58,"0,452s",PASSED
"check(findTestObject(""Survey/Classic survey radio button""))",Chrome 122.0.0.0,,,29-02-2024 11:05:58,29-02-2024 11:06:01,"2,644s",PASSED
"click(findTestObject(""Survey/More btn""))",Chrome 122.0.0.0,,,29-02-2024 11:06:01,29-02-2024 11:06:01,"0,602s",PASSED
"callTestCase(findTestCase(""Built-in test cases/Choose recipients""), [:], STOP_ON_FAILURE)",Chrome 122.0.0.0,,,29-02-2024 11:06:01,29-02-2024 11:06:10,"8,748s",PASSED
"setText(findTestObject(""Create Pop-up Alert Page/Alert Title field""), ""TC-26"")",Chrome 122.0.0.0,,,29-02-2024 11:06:10,29-02-2024 11:06:11,"0,953s",PASSED
"setText(findTestObject(""Survey/Q1 input""), ""Are you satisfied with our services?"")",Chrome 122.0.0.0,,,29-02-2024 11:06:11,29-02-2024 11:06:12,"1,400s",PASSED
"setText(findTestObject(""Survey/Q1 Answer 1 input field""), ""Yes"")",Chrome 122.0.0.0,,,29-02-2024 11:06:12,29-02-2024 11:06:13,"0,701s",PASSED
"setText(findTestObject(""Survey/Q1 answer 2 input field""), ""No"")",Chrome 122.0.0.0,,,29-02-2024 11:06:13,29-02-2024 11:06:14,"0,652s",PASSED
"click(findTestObject(""Survey/Add question btn""))",Chrome 122.0.0.0,,,29-02-2024 11:06:14,29-02-2024 11:06:14,"0,367s",PASSED
"setText(findTestObject(""Survey/Q2 input""), ""Where do you think we can improve our services?"")",Chrome 122.0.0.0,,,29-02-2024 11:06:14,29-02-2024 11:06:16,"2,168s",PASSED
"click(findTestObject(""Survey/choice options""))",Chrome 122.0.0.0,,,29-02-2024 11:06:16,29-02-2024 11:06:17,"0,341s",PASSED
"click(findTestObject(""Survey/Multiple choice""))",Chrome 122.0.0.0,,,29-02-2024 11:06:17,29-02-2024 11:06:17,"0,578s",PASSED
"setText(findTestObject(""Survey/Q2 answer 1 input field""), ""Product Quality"")",Chrome 122.0.0.0,,,29-02-2024 11:06:17,29-02-2024 11:06:19,"1,406s",PASSED
"setText(findTestObject(""Survey/Q2 answer 2 input field""), ""HotFix Delivery"")",Chrome 122.0.0.0,,,29-02-2024 11:06:19,29-02-2024 11:06:20,"0,949s",PASSED
"click(findTestObject(""Survey/Add option""))",Chrome 122.0.0.0,,,29-02-2024 11:06:20,29-02-2024 11:06:20,"0,359s",PASSED
"setText(findTestObject(""Survey/Q2 answer 3 input field""), ""Response Time"")",Chrome 122.0.0.0,,,29-02-2024 11:06:20,29-02-2024 11:06:21,"1,164s",PASSED
"scrollToElement(findTestObject(""Survey/Send btn Survey""), 2)",Chrome 122.0.0.0,,,29-02-2024 11:06:21,29-02-2024 11:06:21,"0,300s",PASSED
"click(findTestObject(""Survey/Send btn Survey""))",Chrome 122.0.0.0,,,29-02-2024 11:06:21,29-02-2024 11:06:22,"0,368s",PASSED
"setText(findTestObject(""Pop-up Alerts page/Search by title field""), ""TC-26"")",Chrome 122.0.0.0,,,29-02-2024 11:06:22,29-02-2024 11:06:24,"2,110s",PASSED
"verifyElementText(findTestObject(""Pop-up Alerts page/Filtered sent alert""), ""TC-26"")",Chrome 122.0.0.0,,,29-02-2024 11:06:24,29-02-2024 11:06:24,"0,294s",PASSED
delay(20),Chrome 122.0.0.0,,,29-02-2024 11:06:24,29-02-2024 11:06:44,"20,007s",PASSED
"click(findTestObject(""Survey/3dots Actions""))",Chrome 122.0.0.0,,,29-02-2024 11:06:44,29-02-2024 11:06:45,"0,337s",PASSED
"click(findTestObject(""Pop-up Alerts page/View graph""))",Chrome 122.0.0.0,,,29-02-2024 11:06:45,29-02-2024 11:06:45,"0,595s",PASSED
delay(2),Chrome 122.0.0.0,,,29-02-2024 11:06:45,29-02-2024 11:06:47,"2,014s",PASSED
takeFullPageScreenshot(),Chrome 122.0.0.0,,,29-02-2024 11:06:47,29-02-2024 11:06:48,"0,463s",PASSED
"click(findTestObject(""Pop-up Alerts page/view graph 2nd page""))",Chrome 122.0.0.0,,,29-02-2024 11:06:48,29-02-2024 11:06:48,"0,344s",PASSED
delay(2),Chrome 122.0.0.0,,,29-02-2024 11:06:48,29-02-2024 11:06:50,"2,004s",PASSED
takeFullPageScreenshot(),Chrome 122.0.0.0,,,29-02-2024 11:06:50,29-02-2024 11:06:50,"0,474s",PASSED
"click(findTestObject(""Pop-up Alerts page/view graph close btn""))",Chrome 122.0.0.0,,,29-02-2024 11:06:50,29-02-2024 11:06:51,"0,337s",PASSED
,,,,,,,
Test Cases/Surveys-Quizz-Poll/Send Survey with intermediary step (TC-27),Chrome 122.0.0.0,,,29-02-2024 11:06:53,29-02-2024 11:07:25,"31,991s",PASSED
"click(findTestObject(""Dashboard Page/Compose alert button expansion""))",Chrome 122.0.0.0,,,29-02-2024 11:06:53,29-02-2024 11:06:53,"0,335s",PASSED
"click(findTestObject(""Dashboard Page/Survey-Quizz-Poll""))",Chrome 122.0.0.0,,,29-02-2024 11:06:53,29-02-2024 11:06:54,"0,636s",PASSED
"check(findTestObject(""Survey/Classic survey radio button""))",Chrome 122.0.0.0,,,29-02-2024 11:06:54,29-02-2024 11:06:57,"2,849s",PASSED
"click(findTestObject(""Survey/More btn""))",Chrome 122.0.0.0,,,29-02-2024 11:06:57,29-02-2024 11:06:57,"0,591s",PASSED
