Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
RSVP Alert,Chrome 120.0.0.0,,,2024-02-01 12:57:04,2024-02-01 13:00:55,"3m - 51,517s",FAILED
,,,,,,,
Test Cases/RSVP/Send RSVP (TC-12),Chrome 120.0.0.0,,,2024-02-01 12:57:04,2024-02-01 12:57:34,"30,417s",PASSED
"callTestCase(findTestCase(""Login Test Cases/Login with Valid Credentials""), [:], STOP_ON_FAILURE)",Chrome 120.0.0.0,,,2024-02-01 12:57:04,2024-02-01 12:57:15,"10,695s",PASSED
"click(findTestObject(""Dashboard Page/Compose alert button expansion""))",Chrome 120.0.0.0,,,2024-02-01 12:57:15,2024-02-01 12:57:15,"0,347s",PASSED
"click(findTestObject(""Dashboard Page/RSVP""))",Chrome 120.0.0.0,,,2024-02-01 12:57:15,2024-02-01 12:57:16,"0,605s",PASSED
"verifyElementText(findTestObject(""Create RSVP/Create RSVP Alert Header""), ""Create RSVP Alert"")",Chrome 120.0.0.0,,,2024-02-01 12:57:16,2024-02-01 12:57:19,"2,597s",PASSED
"click(findTestObject(""Create Pop-up Alert Page/More button""))",Chrome 120.0.0.0,,,2024-02-01 12:57:19,2024-02-01 12:57:19,"0,422s",PASSED
"click(findTestObject(""Create Pop-up Alert Page/Choose recipients modal window/Filter field""))",Chrome 120.0.0.0,,,2024-02-01 12:57:19,2024-02-01 12:57:20,"0,459s",PASSED
"setText(findTestObject(""Create Pop-up Alert Page/Choose recipients modal window/Filter field""), ""LAPTOP-E6BU4LL9"")",Chrome 120.0.0.0,,,2024-02-01 12:57:20,2024-02-01 12:57:21,"1,401s",PASSED
"verifyElementText(findTestObject(""Create Pop-up Alert Page/Choose recipients modal window/All user list-filtered""), ""LAPTOP-E6BU4LL9 "")",Chrome 120.0.0.0,,,2024-02-01 12:57:21,2024-02-01 12:57:22,"1,453s",PASSED
"click(findTestObject(""Create Pop-up Alert Page/Choose recipients modal window/filtered user selection""))",Chrome 120.0.0.0,,,2024-02-01 12:57:22,2024-02-01 12:57:23,"0,343s",PASSED
"verifyElementPresent(findTestObject(""Create Pop-up Alert Page/Choose recipients modal window/Choosen users filtered""), 2)",Chrome 120.0.0.0,,,2024-02-01 12:57:23,2024-02-01 12:57:23,"0,508s",PASSED
"click(findTestObject(""Create Pop-up Alert Page/Choose recipients modal window/Done button""))",Chrome 120.0.0.0,,,2024-02-01 12:57:23,2024-02-01 12:57:24,"0,344s",PASSED
"setText(findTestObject(""Create Pop-up Alert Page/Alert Title field""), ""TC-12"")",Chrome 120.0.0.0,,,2024-02-01 12:57:24,2024-02-01 12:57:25,"0,909s",PASSED
"switchToFrame(findTestObject(""Create Pop-up Alert Page/Alert body iframe""), 2)",Chrome 120.0.0.0,,,2024-02-01 12:57:25,2024-02-01 12:57:25,"0,339s",PASSED
"setText(findTestObject(""Create Pop-up Alert Page/Alert body""), ""Hello! This is automated RSVP alert from Katalon"")",Chrome 120.0.0.0,,,2024-02-01 12:57:25,2024-02-01 12:57:26,"0,827s",PASSED
switchToDefaultContent(),Chrome 120.0.0.0,,,2024-02-01 12:57:26,2024-02-01 12:57:26,"0,027s",PASSED
"setText(findTestObject(""Create RSVP/Question 1 title input""), ""What drink do You prefer?"")",Chrome 120.0.0.0,,,2024-02-01 12:57:26,2024-02-01 12:57:27,"1,037s",PASSED
"setText(findTestObject(""Create RSVP/Answer 1 input""), ""Tea"")",Chrome 120.0.0.0,,,2024-02-01 12:57:27,2024-02-01 12:57:27,"0,657s",PASSED
"setText(findTestObject(""Create RSVP/Answer 2 input""), ""Coffee"")",Chrome 120.0.0.0,,,2024-02-01 12:57:27,2024-02-01 12:57:28,"0,701s",PASSED
"check(findTestObject(""Create RSVP/Question 2 switch""))",Chrome 120.0.0.0,,,2024-02-01 12:57:28,2024-02-01 12:57:28,"0,373s",PASSED
"verifyElementChecked(findTestObject(""Create RSVP/Question 2 switch""), 1)",Chrome 120.0.0.0,,,2024-02-01 12:57:28,2024-02-01 12:57:29,"0,525s",PASSED
"setText(findTestObject(""Create RSVP/Question 2 title input""), ""Why?"")",Chrome 120.0.0.0,,,2024-02-01 12:57:29,2024-02-01 12:57:30,"0,906s",PASSED
"click(findTestObject(""Create Pop-up Alert Page/Send button""))",Chrome 120.0.0.0,,,2024-02-01 12:57:30,2024-02-01 12:57:30,"0,347s",PASSED
waitForPageLoad(2),Chrome 120.0.0.0,,,2024-02-01 12:57:30,2024-02-01 12:57:30,"0,019s",PASSED
"setText(findTestObject(""Pop-up Alerts page/Search by title field""), ""TC-12"")",Chrome 120.0.0.0,,,2024-02-01 12:57:30,2024-02-01 12:57:32,"1,652s",PASSED
"verifyElementText(findTestObject(""Pop-up Alerts page/Filtered sent alert""), ""TC-12"")",Chrome 120.0.0.0,,,2024-02-01 12:57:32,2024-02-01 12:57:32,"0,308s",PASSED
,,,,,,,
Test Cases/RSVP/RSVP template creation (TC-13),Chrome 120.0.0.0,,,2024-02-01 12:57:34,2024-02-01 12:57:51,"16,883s",PASSED
"click(findTestObject(""Dashboard Page/Left-hand menu_RSVP""))",Chrome 120.0.0.0,,,2024-02-01 12:57:34,2024-02-01 12:57:35,"0,361s",PASSED
"click(findTestObject(""Create RSVP/RSVP templates tab""))",Chrome 120.0.0.0,,,2024-02-01 12:57:35,2024-02-01 12:57:35,"0,364s",PASSED
"click(findTestObject(""Create RSVP/New Template RSVP""))",Chrome 120.0.0.0,,,2024-02-01 12:57:35,2024-02-01 12:57:36,"0,893s",PASSED
"setText(findTestObject(""Create RSVP/RSVP template title""), ""TC-13"")",Chrome 120.0.0.0,,,2024-02-01 12:57:36,2024-02-01 12:57:38,"2,471s",PASSED
"switchToFrame(findTestObject(""Create Pop-up Alert Page/Alert body iframe""), 1)",Chrome 120.0.0.0,,,2024-02-01 12:57:38,2024-02-01 12:57:39,"0,529s",PASSED
"setText(findTestObject(""Create Pop-up Alert Page/Alert body""), ""Hello! This is automated RSVP template from Katalon"")",Chrome 120.0.0.0,,,2024-02-01 12:57:39,2024-02-01 12:57:40,"0,567s",PASSED
switchToDefaultContent(),Chrome 120.0.0.0,,,2024-02-01 12:57:40,2024-02-01 12:57:40,"0,023s",PASSED
"setText(findTestObject(""Create RSVP/Question 1 title input""), ""What is your favorite movie?"")",Chrome 120.0.0.0,,,2024-02-01 12:57:40,2024-02-01 12:57:41,"1,249s",PASSED
"setText(findTestObject(""Create RSVP/Answer 1 input""), ""Harry Potter"")",Chrome 120.0.0.0,,,2024-02-01 12:57:41,2024-02-01 12:57:42,"0,706s",PASSED
"setText(findTestObject(""Create RSVP/Answer 2 input""), ""Kill Bill"")",Chrome 120.0.0.0,,,2024-02-01 12:57:42,2024-02-01 12:57:42,"0,676s",PASSED
"check(findTestObject(""Create RSVP/Question 2 switch""))",Chrome 120.0.0.0,,,2024-02-01 12:57:42,2024-02-01 12:57:43,"0,344s",PASSED
"verifyElementChecked(findTestObject(""Create RSVP/Question 2 switch""), 1)",Chrome 120.0.0.0,,,2024-02-01 12:57:43,2024-02-01 12:57:43,"0,509s",PASSED
"setText(findTestObject(""Create RSVP/Question 2 title input""), ""Why?"")",Chrome 120.0.0.0,,,2024-02-01 12:57:43,2024-02-01 12:57:44,"0,866s",PASSED
"click(findTestObject(""Create RSVP/RSVP template Save button""))",Chrome 120.0.0.0,,,2024-02-01 12:57:44,2024-02-01 12:57:44,"0,343s",PASSED
"click(findTestObject(""Create RSVP/RSVP templates tab""))",Chrome 120.0.0.0,,,2024-02-01 12:57:44,2024-02-01 12:57:46,"1,473s",PASSED
"setText(findTestObject(""Pop-up Alerts page/Search by title field""), ""TC-13"")",Chrome 120.0.0.0,,,2024-02-01 12:57:46,2024-02-01 12:57:47,"1,062s",PASSED
delay(2),Chrome 120.0.0.0,,,2024-02-01 12:57:47,2024-02-01 12:57:49,"2,008s",PASSED
"verifyElementText(findTestObject(""Create RSVP/Filtered RSVP template""), ""TC-13"")",Chrome 120.0.0.0,,,2024-02-01 12:57:49,2024-02-01 12:57:49,"0,297s",PASSED
,,,,,,,
Test Cases/RSVP/Send RSVP with template (TC-14),Chrome 120.0.0.0,https://deskalertsdev.atlassian.net/browse/RR-7838,,2024-02-01 13:00:09,2024-02-01 13:00:55,"46,235s",FAILED
"click(findTestObject(""Dashboard Page/Compose alert button expansion""))",Chrome 120.0.0.0,,,2024-02-01 13:00:09,2024-02-01 13:00:09,"0,346s",PASSED
"click(findTestObject(""Dashboard Page/RSVP""))",Chrome 120.0.0.0,,,2024-02-01 13:00:09,2024-02-01 13:00:10,"0,584s",PASSED
refresh(),Chrome 120.0.0.0,,,2024-02-01 13:00:10,2024-02-01 13:00:10,"0,091s",PASSED
"verifyElementText(findTestObject(""Create RSVP/Create RSVP Alert Header""), ""Create RSVP Alert"")",Chrome 120.0.0.0,,,2024-02-01 13:00:10,2024-02-01 13:00:13,"2,881s",PASSED
"click(findTestObject(""Create Pop-up Alert Page/More button""))",Chrome 120.0.0.0,,,2024-02-01 13:00:13,2024-02-01 13:00:13,"0,408s",PASSED
