Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"waitForElementClickable(findTestObject(""Create Pop-up Alert Page/sent alerts checkbox""), 2)",Chrome 122.0.0.0,,,04-03-2024 17:51:42,04-03-2024 17:51:43,"1,552s",PASSED
"check(findTestObject(""Create Pop-up Alert Page/sent alerts checkbox""))",Chrome 122.0.0.0,,,04-03-2024 17:51:43,04-03-2024 17:51:43,"0,319s",PASSED
"verifyElementChecked(findTestObject(""Create Pop-up Alert Page/sent alerts checkbox""), 2)",Chrome 122.0.0.0,,,04-03-2024 17:51:43,04-03-2024 17:51:44,"0,494s",PASSED
"click(findTestObject(""Pop-up Alerts page/delete all""))",Chrome 122.0.0.0,,,04-03-2024 17:51:44,04-03-2024 17:51:44,"0,533s",PASSED
"click(findTestObject(""Pop-up Alerts page/Confirm deletion btn""))",Chrome 122.0.0.0,,,04-03-2024 17:51:44,04-03-2024 17:51:45,"0,551s",PASSED
,,,,,,,
Test Cases/Lockscreens/Send Lockscreen PNG (TC-21),Chrome 122.0.0.0,,,04-03-2024 17:51:47,04-03-2024 17:52:13,"26,024s",PASSED
"click(findTestObject(""Dashboard Page/Compose alert button expansion""))",Chrome 122.0.0.0,,,04-03-2024 17:51:47,04-03-2024 17:51:48,"0,739s",PASSED
"click(findTestObject(""Dashboard Page/Lockscreens""))",Chrome 122.0.0.0,,,04-03-2024 17:51:48,04-03-2024 17:51:48,"0,545s",PASSED
"verifyElementText(findTestObject(""Lockscreen/Create Lockscreen header""), ""Create Lockscreen"")",Chrome 122.0.0.0,,,04-03-2024 17:51:48,04-03-2024 17:51:49,"0,490s",PASSED
"click(findTestObject(""Wallpapers/more""))",Chrome 122.0.0.0,,,04-03-2024 17:51:49,04-03-2024 17:51:49,"0,539s",PASSED
"callTestCase(findTestCase(""Built-in test cases/Choose recipients""), [:], STOP_ON_FAILURE)",Chrome 122.0.0.0,,,04-03-2024 17:51:49,04-03-2024 17:51:57,"7,951s",PASSED
"setText(findTestObject(""Create Pop-up Alert Page/Alert Title field""), ""TC-21"")",Chrome 122.0.0.0,,,04-03-2024 17:51:57,04-03-2024 17:51:58,"0,836s",PASSED
"verifyElementPresent(findTestObject(""Wallpapers/Upload wallpaper area""), 2)",Chrome 122.0.0.0,,,04-03-2024 17:51:58,04-03-2024 17:51:58,"0,280s",PASSED
"uploadFileWithDragAndDrop(findTestObject(""Wallpapers/Upload wallpaper area""), ""C:\Users\Home\git\Katalon\Imagesfortest\rocks.png"")",Chrome 122.0.0.0,,,04-03-2024 17:51:58,04-03-2024 17:51:59,"0,280s",PASSED
delay(10),Chrome 122.0.0.0,,,04-03-2024 17:51:59,04-03-2024 17:52:09,"10,015s",PASSED
"getAttribute(findTestObject(""Wallpapers/uploaded wallpaper file""), ""src"")",Chrome 122.0.0.0,,,04-03-2024 17:52:09,04-03-2024 17:52:09,"0,258s",PASSED
"click(findTestObject(""Wallpapers/Send wallpaper button""))",Chrome 122.0.0.0,,,04-03-2024 17:52:09,04-03-2024 17:52:09,"0,302s",PASSED
waitForPageLoad(2),Chrome 122.0.0.0,,,04-03-2024 17:52:09,04-03-2024 17:52:09,"0,013s",PASSED
"setText(findTestObject(""Pop-up Alerts page/Search by title field""), ""TC-21"")",Chrome 122.0.0.0,,,04-03-2024 17:52:09,04-03-2024 17:52:11,"1,405s",PASSED
"verifyElementText(findTestObject(""Pop-up Alerts page/Filtered sent alert""), ""TC-21"")",Chrome 122.0.0.0,,,04-03-2024 17:52:11,04-03-2024 17:52:11,"0,266s",PASSED
,,,,,,,
Test Cases/Lockscreens/Send Lockscreen BMP (TC-22),Chrome 122.0.0.0,,,04-03-2024 17:52:13,04-03-2024 17:52:39,"25,829s",PASSED
"click(findTestObject(""Dashboard Page/Compose alert button expansion""))",Chrome 122.0.0.0,,,04-03-2024 17:52:13,04-03-2024 17:52:13,"0,288s",PASSED
"click(findTestObject(""Dashboard Page/Lockscreens""))",Chrome 122.0.0.0,,,04-03-2024 17:52:13,04-03-2024 17:52:14,"0,566s",PASSED
"verifyElementText(findTestObject(""Lockscreen/Create Lockscreen header""), ""Create Lockscreen"")",Chrome 122.0.0.0,,,04-03-2024 17:52:14,04-03-2024 17:52:14,"0,507s",PASSED
"click(findTestObject(""Wallpapers/more""))",Chrome 122.0.0.0,,,04-03-2024 17:52:14,04-03-2024 17:52:15,"0,522s",PASSED
"callTestCase(findTestCase(""Built-in test cases/Choose recipients""), [:], STOP_ON_FAILURE)",Chrome 122.0.0.0,,,04-03-2024 17:52:15,04-03-2024 17:52:23,"8,236s",PASSED
"setText(findTestObject(""Create Pop-up Alert Page/Alert Title field""), ""TC-22"")",Chrome 122.0.0.0,,,04-03-2024 17:52:23,04-03-2024 17:52:24,"0,814s",PASSED
"verifyElementPresent(findTestObject(""Wallpapers/Upload wallpaper area""), 2)",Chrome 122.0.0.0,,,04-03-2024 17:52:24,04-03-2024 17:52:24,"0,263s",PASSED
"uploadFileWithDragAndDrop(findTestObject(""Wallpapers/Upload wallpaper area""), ""C:\Users\Home\git\Katalon\Imagesfortest\future.bmp"")",Chrome 122.0.0.0,,,04-03-2024 17:52:24,04-03-2024 17:52:25,"0,276s",PASSED
delay(10),Chrome 122.0.0.0,,,04-03-2024 17:52:25,04-03-2024 17:52:35,"10,005s",PASSED
"getAttribute(findTestObject(""Wallpapers/uploaded wallpaper file""), ""src"")",Chrome 122.0.0.0,,,04-03-2024 17:52:35,04-03-2024 17:52:35,"0,254s",PASSED
"click(findTestObject(""Wallpapers/Send wallpaper button""))",Chrome 122.0.0.0,,,04-03-2024 17:52:35,04-03-2024 17:52:35,"0,323s",PASSED
waitForPageLoad(2),Chrome 122.0.0.0,,,04-03-2024 17:52:35,04-03-2024 17:52:35,"0,012s",PASSED
