Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"setText(findTestObject(""Create Pop-up Alert Page/Alert Title field""), ""Duplicate RSVP alert"")",Chrome 121.0.0.0,,,2024-02-26 09:07:04,2024-02-26 09:07:05,"0,928s",PASSED
"click(findTestObject(""Create Pop-up Alert Page/Send button""))",Chrome 121.0.0.0,,,2024-02-26 09:07:05,2024-02-26 09:07:05,"0,371s",PASSED
waitForPageLoad(5),Chrome 121.0.0.0,,,2024-02-26 09:07:05,2024-02-26 09:07:05,"0,024s",PASSED
"setText(findTestObject(""Pop-up Alerts page/Search by title field""), ""TC-12"")",Chrome 121.0.0.0,,,2024-02-26 09:07:05,2024-02-26 09:07:07,"2,048s",PASSED
waitForPageLoad(5),Chrome 121.0.0.0,,,2024-02-26 09:07:07,2024-02-26 09:07:07,"0,015s",PASSED
"waitForElementClickable(findTestObject(""Survey/3dots Actions""), 2)",Chrome 121.0.0.0,,,2024-02-26 09:07:07,2024-02-26 09:07:07,"0,323s",PASSED
"callTestCase(findTestCase(""Built-in test cases/Resend to all""), [:], STOP_ON_FAILURE)",Chrome 121.0.0.0,,,2024-02-26 09:07:07,2024-02-26 09:07:10,"2,934s",PASSED
"sendKeys(findTestObject(""Pop-up Alerts page/Search by title field""), Keys.chord(CONTROL, ""a"", BACK_SPACE))",Chrome 121.0.0.0,,,2024-02-26 09:07:10,2024-02-26 09:07:11,"1,149s",PASSED
"setText(findTestObject(""Pop-up Alerts page/Search by title field""), ""TC-12"")",Chrome 121.0.0.0,,,2024-02-26 09:07:11,2024-02-26 09:07:13,"1,444s",PASSED
"callTestCase(findTestCase(""Built-in test cases/Select all and Delete""), [:], STOP_ON_FAILURE)",Chrome 121.0.0.0,,,2024-02-26 09:07:13,2024-02-26 09:07:16,"3,054s",PASSED
"sendKeys(findTestObject(""Pop-up Alerts page/Search by title field""), Keys.chord(CONTROL, ""a"", BACK_SPACE))",Chrome 121.0.0.0,,,2024-02-26 09:07:16,2024-02-26 09:07:17,"1,016s",PASSED
"setText(findTestObject(""Pop-up Alerts page/Search by title field""), ""Duplicate RSVP alert"")",Chrome 121.0.0.0,,,2024-02-26 09:07:17,2024-02-26 09:07:18,"1,410s",PASSED
"waitForElementClickable(findTestObject(""Create Pop-up Alert Page/sent alerts checkbox""), 2)",Chrome 121.0.0.0,,,2024-02-26 09:07:18,2024-02-26 09:07:19,"0,283s",PASSED
"check(findTestObject(""Create Pop-up Alert Page/sent alerts checkbox""))",Chrome 121.0.0.0,,,2024-02-26 09:07:19,2024-02-26 09:07:20,"1,193s",PASSED
"verifyElementChecked(findTestObject(""Create Pop-up Alert Page/sent alerts checkbox""), 2)",Chrome 121.0.0.0,,,2024-02-26 09:07:20,2024-02-26 09:07:20,"0,511s",PASSED
"click(findTestObject(""Pop-up Alerts page/delete all""))",Chrome 121.0.0.0,,,2024-02-26 09:07:20,2024-02-26 09:07:21,"0,558s",PASSED
"click(findTestObject(""Pop-up Alerts page/Confirm deletion btn""))",Chrome 121.0.0.0,,,2024-02-26 09:07:21,2024-02-26 09:07:21,"0,545s",PASSED
,,,,,,,
Test Cases/RSVP/RSVP template creation (TC-13),Chrome 121.0.0.0,,,2024-02-26 09:07:23,2024-02-26 09:07:54,"30,213s",PASSED
"click(findTestObject(""Dashboard Page/Left-hand menu_RSVP""))",Chrome 121.0.0.0,,,2024-02-26 09:07:24,2024-02-26 09:07:24,"0,357s",PASSED
"click(findTestObject(""Create RSVP/RSVP templates tab""))",Chrome 121.0.0.0,,,2024-02-26 09:07:24,2024-02-26 09:07:24,"0,364s",PASSED
"click(findTestObject(""Create RSVP/New Template RSVP""))",Chrome 121.0.0.0,,,2024-02-26 09:07:24,2024-02-26 09:07:25,"1,178s",PASSED
"setText(findTestObject(""Create RSVP/RSVP template title""), ""TC-13"")",Chrome 121.0.0.0,,,2024-02-26 09:07:25,2024-02-26 09:07:28,"2,737s",PASSED
"switchToFrame(findTestObject(""Create Pop-up Alert Page/Alert body iframe""), 1)",Chrome 121.0.0.0,,,2024-02-26 09:07:28,2024-02-26 09:07:28,"0,291s",PASSED
"setText(findTestObject(""Create Pop-up Alert Page/Alert body""), ""Hello! This is automated RSVP template from Katalon"")",Chrome 121.0.0.0,,,2024-02-26 09:07:28,2024-02-26 09:07:29,"0,654s",PASSED
switchToDefaultContent(),Chrome 121.0.0.0,,,2024-02-26 09:07:29,2024-02-26 09:07:29,"0,007s",PASSED
"setText(findTestObject(""Create RSVP/Question 1 title input""), ""What is your favorite movie?"")",Chrome 121.0.0.0,,,2024-02-26 09:07:29,2024-02-26 09:07:30,"1,065s",PASSED
"setText(findTestObject(""Create RSVP/Answer 1 input""), ""Harry Potter"")",Chrome 121.0.0.0,,,2024-02-26 09:07:30,2024-02-26 09:07:31,"0,709s",PASSED
"setText(findTestObject(""Create RSVP/Answer 2 input""), ""Kill Bill"")",Chrome 121.0.0.0,,,2024-02-26 09:07:31,2024-02-26 09:07:32,"0,897s",PASSED
"scrollToElement(findTestObject(""Create RSVP/Question 2 switch""), 2)",Chrome 121.0.0.0,,,2024-02-26 09:07:32,2024-02-26 09:07:32,"0,634s",PASSED
"waitForElementClickable(findTestObject(""Create RSVP/Question 2 switch""), 2)",Chrome 121.0.0.0,,,2024-02-26 09:07:32,2024-02-26 09:07:33,"0,286s",PASSED
"check(findTestObject(""Create RSVP/Question 2 switch""))",Chrome 121.0.0.0,,,2024-02-26 09:07:33,2024-02-26 09:07:33,"0,341s",PASSED
"verifyElementChecked(findTestObject(""Create RSVP/Question 2 switch""), 1)",Chrome 121.0.0.0,,,2024-02-26 09:07:33,2024-02-26 09:07:34,"0,511s",PASSED
"setText(findTestObject(""Create RSVP/Question 2 title input""), ""Why?"")",Chrome 121.0.0.0,,,2024-02-26 09:07:34,2024-02-26 09:07:35,"0,909s",PASSED
"click(findTestObject(""Create RSVP/RSVP template Save button""))",Chrome 121.0.0.0,,,2024-02-26 09:07:35,2024-02-26 09:07:35,"0,330s",PASSED
"click(findTestObject(""Create RSVP/RSVP templates tab""))",Chrome 121.0.0.0,,,2024-02-26 09:07:35,2024-02-26 09:07:36,"1,277s",PASSED
"setText(findTestObject(""Pop-up Alerts page/Search by title field""), ""TC-13"")",Chrome 121.0.0.0,,,2024-02-26 09:07:36,2024-02-26 09:07:37,"1,085s",PASSED
delay(2),Chrome 121.0.0.0,,,2024-02-26 09:07:37,2024-02-26 09:07:39,"2,013s",PASSED
"verifyElementText(findTestObject(""Create RSVP/Filtered RSVP template""), ""TC-13"")",Chrome 121.0.0.0,,,2024-02-26 09:07:39,2024-02-26 09:07:40,"0,294s",PASSED
"click(findTestObject(""Survey/3dots Actions""))",Chrome 121.0.0.0,,,2024-02-26 09:07:40,2024-02-26 09:07:40,"0,319s",PASSED
"click(findTestObject(""Templates Action menu/Preview Template Action""))",Chrome 121.0.0.0,,,2024-02-26 09:07:40,2024-02-26 09:07:40,"0,535s",PASSED
"switchToFrame(findTestObject(""Create Pop-up Alert Page/Preview alert iframe""), 2)",Chrome 121.0.0.0,,,2024-02-26 09:07:40,2024-02-26 09:07:41,"1,106s",PASSED
takeFullPageScreenshot([]),Chrome 121.0.0.0,,,2024-02-26 09:07:41,2024-02-26 09:07:42,"0,757s",PASSED
"click(findTestObject(""Create Pop-up Alert Page/close alert preview""))",Chrome 121.0.0.0,,,2024-02-26 09:07:42,2024-02-26 09:07:42,"0,154s",PASSED
switchToDefaultContent(),Chrome 121.0.0.0,,,2024-02-26 09:07:42,2024-02-26 09:07:42,"0,013s",PASSED
"click(findTestObject(""Survey/3dots Actions""))",Chrome 121.0.0.0,,,2024-02-26 09:07:42,2024-02-26 09:07:43,"0,550s",PASSED
"click(findTestObject(""Templates Action menu/Edit Template Action""))",Chrome 121.0.0.0,,,2024-02-26 09:07:43,2024-02-26 09:07:43,"0,538s",PASSED
"verifyElementPresent(findTestObject(""Create RSVP/Create RSVP Alert Header""), 2)",Chrome 121.0.0.0,,,2024-02-26 09:07:43,2024-02-26 09:07:46,"2,703s",PASSED
"verifyElementText(findTestObject(""Create RSVP/Create RSVP Alert Header""), ""Edit RSVP template"")",Chrome 121.0.0.0,,,2024-02-26 09:07:46,2024-02-26 09:07:46,"0,292s",PASSED
"scrollToElement(findTestObject(""Create RSVP/RSVP template Save button""), 2)",Chrome 121.0.0.0,,,2024-02-26 09:07:46,2024-02-26 09:07:47,"0,291s",PASSED
"click(findTestObject(""Create RSVP/RSVP template Save button""))",Chrome 121.0.0.0,,,2024-02-26 09:07:47,2024-02-26 09:07:47,"0,341s",PASSED
"click(findTestObject(""Create RSVP/RSVP templates tab""))",Chrome 121.0.0.0,,,2024-02-26 09:07:47,2024-02-26 09:07:49,"1,445s",PASSED
"setText(findTestObject(""Pop-up Alerts page/Search by title field""), ""TC-13"")",Chrome 121.0.0.0,,,2024-02-26 09:07:49,2024-02-26 09:07:50,"1,055s",PASSED
delay(2),Chrome 121.0.0.0,,,2024-02-26 09:07:50,2024-02-26 09:07:52,"2,005s",PASSED
"verifyElementText(findTestObject(""Pop-up Alerts page/Filtered Template""), ""TC-13"")",Chrome 121.0.0.0,,,2024-02-26 09:07:52,2024-02-26 09:07:52,"0,002s",NOT_RUN
"click(findTestObject(""Survey/3dots Actions""))",Chrome 121.0.0.0,,,2024-02-26 09:07:52,2024-02-26 09:07:52,"0,003s",NOT_RUN
"click(findTestObject(""Templates Action menu/Create alert using this template""))",Chrome 121.0.0.0,,,2024-02-26 09:07:52,2024-02-26 09:07:52,"0,002s",NOT_RUN
"click(findTestObject(""Create Pop-up Alert Page/More button""))",Chrome 121.0.0.0,,,2024-02-26 09:07:52,2024-02-26 09:07:52,"0,001s",NOT_RUN
"callTestCase(findTestCase(""Built-in test cases/Choose recipients""), [:], STOP_ON_FAILURE)",Chrome 121.0.0.0,,,2024-02-26 09:07:52,2024-02-26 09:07:52,"0,001s",NOT_RUN
"setText(findTestObject(""Create Template/Template title""), "" Template"")",Chrome 121.0.0.0,,,2024-02-26 09:07:52,2024-02-26 09:07:52,"0,001s",NOT_RUN
"click(findTestObject(""Create Pop-up Alert Page/Send button""))",Chrome 121.0.0.0,,,2024-02-26 09:07:52,2024-02-26 09:07:52,"0,001s",NOT_RUN
,,,,,,,
Test Cases/RSVP/Send RSVP with template (TC-14),Chrome 121.0.0.0,https://deskalertsdev.atlassian.net/browse/RR-7838,,2024-02-26 09:07:54,2024-02-26 09:08:13,"19,297s",PASSED
"click(findTestObject(""Dashboard Page/Compose alert button expansion""))",Chrome 121.0.0.0,,,2024-02-26 09:07:54,2024-02-26 09:07:54,"0,318s",PASSED
"click(findTestObject(""Dashboard Page/RSVP""))",Chrome 121.0.0.0,,,2024-02-26 09:07:54,2024-02-26 09:07:55,"0,952s",PASSED
"verifyElementText(findTestObject(""Create RSVP/Create RSVP Alert Header""), ""Create RSVP Alert"")",Chrome 121.0.0.0,,,2024-02-26 09:07:55,2024-02-26 09:07:58,"2,841s",PASSED
"click(findTestObject(""Create Pop-up Alert Page/More button""))",Chrome 121.0.0.0,,,2024-02-26 09:07:58,2024-02-26 09:07:58,"0,342s",PASSED
"callTestCase(findTestCase(""Built-in test cases/Choose recipients""), [:], STOP_ON_FAILURE)",Chrome 121.0.0.0,,,2024-02-26 09:07:58,2024-02-26 09:08:06,"7,976s",PASSED
"click(findTestObject(""Create Pop-up Alert Page/Template selection button""))",Chrome 121.0.0.0,,,2024-02-26 09:08:06,2024-02-26 09:08:07,"0,553s",PASSED
"click(findTestObject(""Create RSVP/RSVP template with given value""))",Chrome 121.0.0.0,,,2024-02-26 09:08:07,2024-02-26 09:08:07,"0,574s",PASSED
"sendKeys(findTestObject(""Create Pop-up Alert Page/Alert Title field""), Keys.chord(CONTROL, ""a"", BACK_SPACE))",Chrome 121.0.0.0,,,2024-02-26 09:08:07,2024-02-26 09:08:08,"0,791s",PASSED
"setText(findTestObject(""Create Pop-up Alert Page/Alert Title field""), ""TC-14"")",Chrome 121.0.0.0,,,2024-02-26 09:08:08,2024-02-26 09:08:09,"0,648s",PASSED
"click(findTestObject(""Create Pop-up Alert Page/Send button""))",Chrome 121.0.0.0,,,2024-02-26 09:08:09,2024-02-26 09:08:09,"0,336s",PASSED
waitForPageLoad(2),Chrome 121.0.0.0,,,2024-02-26 09:08:09,2024-02-26 09:08:09,"0,014s",PASSED
"setText(findTestObject(""Pop-up Alerts page/Search by title field""), ""TC-14"")",Chrome 121.0.0.0,,,2024-02-26 09:08:09,2024-02-26 09:08:11,"1,554s",PASSED
"verifyElementText(findTestObject(""Pop-up Alerts page/Filtered sent alert""), ""TC-14"")",Chrome 121.0.0.0,,,2024-02-26 09:08:11,2024-02-26 09:08:11,"0,297s",PASSED
