Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"waitForElementClickable(findTestObject(""Pop-up Alerts page/resend alert from actions menu""), 2)",Chrome 123.0.0.0,,,22-04-2024 11:27:21,22-04-2024 11:27:21,"0,516s",PASSED
"click(findTestObject(""Pop-up Alerts page/resend alert from actions menu""))",Chrome 123.0.0.0,,,22-04-2024 11:27:21,22-04-2024 11:27:22,"0,556s",PASSED
"click(findTestObject(""Pop-up Alerts page/Resend btn""))",Chrome 123.0.0.0,,,22-04-2024 11:27:22,22-04-2024 11:27:22,"0,550s",PASSED
"sendKeys(findTestObject(""Pop-up Alerts page/Search by title field""), Keys.chord(CONTROL, ""a"", BACK_SPACE))",Chrome 123.0.0.0,,,22-04-2024 11:27:22,22-04-2024 11:27:24,"1,353s",PASSED
"setText(findTestObject(""Pop-up Alerts page/Search by title field""), ""TC-7"")",Chrome 123.0.0.0,,,22-04-2024 11:27:24,22-04-2024 11:27:26,"1,987s",PASSED
"verifyElementClickable(findTestObject(""Pop-up Alerts page/Select all checkbox""))",Chrome 123.0.0.0,,,22-04-2024 11:27:26,22-04-2024 11:27:26,"0,299s",PASSED
"check(findTestObject(""Pop-up Alerts page/Select all checkbox""))",Chrome 123.0.0.0,,,22-04-2024 11:27:26,22-04-2024 11:27:27,"1,153s",PASSED
"verifyElementChecked(findTestObject(""Pop-up Alerts page/Select all checkbox""), 1)",Chrome 123.0.0.0,,,22-04-2024 11:27:27,22-04-2024 11:27:28,"0,504s",PASSED
"click(findTestObject(""Pop-up Alerts page/delete all""))",Chrome 123.0.0.0,,,22-04-2024 11:27:28,22-04-2024 11:27:28,"0,556s",PASSED
"click(findTestObject(""Pop-up Alerts page/Confirm deletion btn""))",Chrome 123.0.0.0,,,22-04-2024 11:27:28,22-04-2024 11:27:29,"1,106s",PASSED
,,,,,,,
Test Cases/Ticker/Draft ticker (TC-8),Chrome 123.0.0.0,,,22-04-2024 11:27:31,22-04-2024 11:27:56,"24,978s",PASSED
